"","PT","AU","TI","SO","VL","IS","SI","BP","EP","DI","PD","PY","AB","ZB","TC","Z8","ZR","ZS","Z9","SN","EI","UT","ER","PM","AR","MA","SU","OI","RI","BE","CT","CY","CL","SP","BN","SE","BA","D2","S1","GP","Z1","AK","HO","PN","DB","C1","AU_UN","SR"
"BATT CHRIS, 2017, ","J","BATT CHRIS","LONG-TERM DIGITAL STRATEGY: DO IT ONCE, DO IT RIGHT","INFORMATION AND LEARNING SCIENCE","118","5-6",NA,"331","335","10.1108/ILS-06-2017-0058","2017",2017,"PURPOSE - COLLECTING INSTITUTIONS IN THE NETWORK SOCIETY IS A MULTIDISCIPLINARY PHD STUDY EXAMINING PRESENT PRACTICES AND POLICIES OF COLLECTING INSTITUTIONS (MUSEUMS, GALLERIES, LIBRARIES AND ARCHIVES) IN THEIR USE AND DEVELOPMENT OF DIGITAL TECHNOLOGIES, WITHIN THE CONTEXT OF WIDER SOCIO-TECHNICAL CHANGE. IT INVESTIGATES WHETHER EXISTING SERVICE PARADIGMS ARE BEST SUITED TO FUTURE DIGITAL DELIVERY OF SERVICES IN THE EMERGENT NETWORK SOCIETY. DESIGN/METHODOLOGY/APPROACH - IT USES AN INTERPRETIVE METHODOLOGICAL APPROACH CREATING A BODY OF PHENOMENOLOGICAL EVIDENCE ENABLING COMPARISON BETWEEN THE ORGANISATIONAL CONTEXT, INTERNAL PRACTICES, HISTORIES AND POLICIES OF COLLECTING INSTITUTIONS, AND THE WIDER SOCIO-TECHNICAL IMPACT OF THE INTERNET. LITERATURE REVIEWS PROVIDE EVIDENCE FROM THE ""OUTER WORLD"" OF INTERNET DEVELOPMENTS AND IMPACT TO ESTABLISH FOUR GENERIC DRIVERS OF INTERNET CHANGE. FOR THE ""INNER WORLD"" OF COLLECTING INSTITUTIONS, ORGANISATIONAL CONTEXT AND RESEARCH AND DEVELOPMENT ON INNOVATION ARE EXAMINED TO ANALYSE VARIOUS PERSPECTIVES ON COMMON APPROACHES TO SERVICE POLICY AND PRACTICE. ADDITIONALLY, TEXTUAL ANALYSIS OF INSTITUTIONAL MISSION STATEMENTS AND POLICY DOCUMENTS IS USED TO ESTABLISH THE DEGREE OF COMMON PURPOSE ACROSS COLLECTING INSTITUTIONS AND THE PREPAREDNESS OF PRACTITIONERS AND POLICYMAKERS TO DEAL WITH RAPID SOCIO-TECHNICAL CHANGE. FINDINGS - THE EVIDENCE IS SYNTHESISED TO DEFINE AN INSTITUTIONAL PARADIGM DESCRIBING THE PRESENT OPERATIONAL PROCESSES AND PRACTICES OF COLLECTING INSTITUTIONS. THIS IS COMPARED WITH THE FOUR GENERIC DRIVERS TO DEFINE OPPORTUNITIES AND CHALLENGES THAT COLLECTING INSTITUTIONS FACE IN EXPLOITING THE INTERNET. THIS SYNTHESIS DEMONSTRATES THAT THE SILOISED AND FRAGMENTED NATURE OF THE INSTITUTIONAL PARADIGM CREATES SIGNIFICANT BARRIERS TO EFFECTIVE EXPLOITATION. EVIDENCE FROM THE TEXTUAL ANALYSIS IS USED TO DEVELOP A SHARED MISSION STATEMENT FOR ALL COLLECTING INSTITUTIONS AS THE FOUNDATION OF A STRATEGIC DIGITAL FUTURE. ORIGINALITY/VALUE - THE STUDY PROPOSES A RADICALLY NEW SERVICE PARADIGM (THE DIGITAL KNOWLEDGE ECOLOGY) ENABLING COLLECTING INSTITUTIONS TO ACHIEVE MAXIMUM USER VALUE IN THEIR DELIVERY OF DIGITAL SERVICES, AND CONCLUDES WITH PROPOSALS FOR ACTIONS TO BUILD A COLLECTIVE STRATEGY.","0",0,"0","0","0","0","2398-5348",NA,"ISI000427176100008","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"BATT CHRIS, 2017, "
"JULIA KAIDALOVA, 2017, ","S","JULIA KAIDALOVA;KURT SANDKUHL;ULF SEIGERROTH","CHALLENGES IN INTEGRATING PRODUCT-IT INTO ENTERPRISE ARCHITECTURE A CASE STUDY","CENTERIS 2017 - INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION;   SYSTEMS / PROJMAN 2017 - INTERNATIONAL CONFERENCE ON PROJECT MANAGEMENT;   / HCIST 2017 - INTERNATIONAL CONFERENCE ON HEALTH AND SOCIAL CARE;   INFORMATION SYSTEMS AND TECHNOLOGIES, CENTERI","121",NA,NA,"525","533","10.1016/J.PROCS.2017.11.070","2017",2017,"DIGITAL INNOVATION (DI), INTERNET OF THINGS (IOT) AND CYBER-PHYSICAL SYSTEMS (CPS) OFFER NEW OPPORTUNITIES FOR ENTERPRISES BUT ALSO CAUSE NEW CHALLENGES FOR ENTERPRISE ARCHITECTURE MANAGEMENT (EAM). BASED ON AN INDUSTRIAL CASE FROM POWER GARDEN PRODUCTS ILLUSTRATING POTENTIALS AND CHALLENGES OF DI AND IOT, THIS PAPER INVESTIGATES THE INTEGRATION OF PRODUCT-IT INTO ENTERPRISE ARCHITECTURE (EA). PRODUCT-IT INCLUDES THE EMBEDDED IT-SYSTEMS IN PHYSICAL PRODUCTS AND SERVICES / COMPONENTS FOR OPERATIONS, MAINTENANCE OR EVALUATION PURPOSES. THE PAPER INVESTIGATES PROBLEMS IN PRODUCT-IT AND ENTERPRISE-IT INTEGRATION AND CHALLENGES FOR THE FIELD OF EAM. THE CASE STUDY SHOWS THAT INDUSTRY IMPLEMENTED PRAGMATIC SOLUTIONS FOR DEALING WITH P-IT INTEGRATION INTO EA, BUT THERE IS A CLEARLY EXPRESSED DEMAND FOR IMPROVEMENTS AND A NEED FOR REFINED EAM STANDARDS IN THIS CONTEXT. (C) 2017 THE AUTHORS. PUBLISHED BY ELSEVIER B.V.","0",0,"0","0","0","0","1877-0509",NA,"ISI000426701100069","",NA,NA,NA,NA,NA,NA,"CRUZCUNHA, MM;   VARAJAO, JEQ;   RIJO, R;   MARTINHO, R;   PEPPARD, J;   SANCRISTOBAL, JR;   MONGUET, J","INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS (CENTERIS) /;   INTERNATIONAL CONFERENCE ON PROJECT MANAGEMENT (PROJMAN) / INTERNATIONAL;   CONFERENCE ON HEALTH AND SOCIAL CARE INFORMATION SYSTEMS AND;   TECHNOLOGIES (HCIST)","NOV 08-10, 2017","BARCELONA, SPAIN",NA,"*****************","PROCEDIA COMPUTER SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"JULIA KAIDALOVA, 2017, "
"HJALMARSSON A, 2017, ","S","HJALMARSSON A;JUELLSKIELSE G;JOHANNESSON P","OPEN DIGITAL INNOVATION: A CONTEST DRIVEN APPROACH","OPEN DIGITAL INNOVATION: A CONTEST DRIVEN APPROACH",NA,NA,NA,"1","140","10.1007/978-3-319-56339-8","2017",2017,NA,"0",0,"0","0","0","0","2196-8705",NA,"ISI000424491700018","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-3-319-56339-8; 978-3-319-56338-1","PROGRESS IN IS",NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HJALMARSSON A, 2017, "
"HJALMARSSON ANDERS, 2017, ","S","HJALMARSSON ANDERS;JUELL-SKIELSE GUSTAF;JOHANNESSON PAUL","OPEN DIGITAL INNOVATION A CONTEST DRIVEN APPROACH INTRODUCTION","OPEN DIGITAL INNOVATION: A CONTEST DRIVEN APPROACH",NA,NA,NA,"1","3","10.1007/978-3-319-56339-8_1","2017",2017,"THIS CHAPTER PROVIDES A BACKGROUND TO THE BOOK. IT INTRODUCES THE NOTION OF INNOVATION AND DISCUSSES HOW IT CAN BE MANAGED, IN PARTICULAR THROUGH INNOVATION CONTESTS. A LIFE-CYCLE PERSPECTIVE ON INNOVATION CONTESTS IS INTRODUCED, WHICH SHOWS HOW A CONTEST MOVES THROUGH THE PHASES OF PRE-CONTEST, CONTEST, AND POST-CONTEST. THIS PERSPECTIVE IS USED THROUGHOUT THE BOOK AND THE ACTIVITIES OF THE LIFE-CYCLE ARE DESCRIBED AND ANALYSED IN SEPARATE CHAPTERS, MOVING FROM GOAL SETTING AND STAKEHOLDER ENGAGEMENT OVER OPERATIONS MANAGEMENT TO BUSINESS MODEL DESIGN AND BARRIER MANAGEMENT.","0",0,"0","0","0","0","2196-8705",NA,"ISI000424491700002","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-3-319-56339-8; 978-3-319-56338-1","PROGRESS IN IS","HJALMARSSON, A;   JUELLSKIELSE, G;   JOHANNESSON, P","10.1007/978-3-319-56339-8",NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HJALMARSSON ANDERS, 2017, "
"HJALMARSSON ANDERS, 2017, -a","S","HJALMARSSON ANDERS;JUELL-SKIELSE GUSTAF;JOHANNESSON PAUL","OPEN DIGITAL INNOVATION A CONTEST DRIVEN APPROACH PREFACE","OPEN DIGITAL INNOVATION: A CONTEST DRIVEN APPROACH",NA,NA,NA,"V","V",NA,"2017",2017,NA,"0",0,"0","0","0","0","2196-8705",NA,"ISI000424491700001","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-3-319-56339-8; 978-3-319-56338-1","PROGRESS IN IS","HJALMARSSON, A;   JUELLSKIELSE, G;   JOHANNESSON, P","10.1007/978-3-319-56339-8",NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HJALMARSSON ANDERS, 2017, -a"
"HJALMARSSON ANDERS, 2017, -a-b","S","HJALMARSSON ANDERS;JUELL-SKIELSE GUSTAF;JOHANNESSON PAUL","OPEN INNOVATION","OPEN DIGITAL INNOVATION: A CONTEST DRIVEN APPROACH",NA,NA,NA,"5","9","10.1007/978-3-319-56339-8_2","2017",2017,"THIS CHAPTER INTRODUCES THE NOTION OF OPEN INNOVATION, WHICH IS ABOUT ORGANIZATIONS MAKING USE OF EXTERNAL IDEAS, SOLUTIONS AND TECHNOLOGIES INSTEAD OF ONLY RELYING ON ITS INTERNAL INNOVATION. THREE DIFFERENT FORMS OF OPEN INNOVATION ARE DISCUSSED: INSIDE-OUT, OUTSIDE-IN AND COUPLED INNOVATION, WHICH DIFFER WITH REGARD TO THE DIRECTION OF THE IDEA FLOWS. THE CHAPTER ALSO INTRODUCES A NUMBER OF MODELS FOR OPEN INNOVATION, INCLUDING CROWDSOURCING, PRODUCT PLATFORMING, COLLABORATIVE INNOVATION NETWORKS, AND INNOVATION CONTESTS. DIGITAL INNOVATION HAS TRANSFORMED MANY BUSINESSES, ENABLING NEW KINDS OF SMART, CONNECTED PRODUCTS AS WELL AS NOVEL BUSINESS MODELS BASED ON PLATFORMS.","0",0,"0","0","0","0","2196-8705",NA,"ISI000424491700003","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-3-319-56339-8; 978-3-319-56338-1","PROGRESS IN IS","HJALMARSSON, A;   JUELLSKIELSE, G;   JOHANNESSON, P","10.1007/978-3-319-56339-8",NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HJALMARSSON ANDERS, 2017, -a-b"
"HJALMARSSON ANDERS, 2017, -a-b-c","S","HJALMARSSON ANDERS;JUELL-SKIELSE GUSTAF;JOHANNESSON PAUL","OPEN DIGITAL INNOVATION CONTEST","OPEN DIGITAL INNOVATION: A CONTEST DRIVEN APPROACH",NA,NA,NA,"11","21","10.1007/978-3-319-56339-8_3","2017",2017,"THIS CHAPTER INTRODUCES OPEN DIGITAL INNOVATION CONTESTS THAT AIM TO DEVELOP DIGITAL SERVICES. KEY STAKEHOLDERS IN SUCH CONTESTS ARE IDENTIFIED: ORGANISERS, PARTICIPANTS, RESOURCE PROVIDERS, AND BENEFICIARIES. A CLASSIFICATION OF DIGITAL INNOVATION CONTESTS IS PROPOSED BASED ON THE LENGTH OF A CONTEST AND ITS INCLUSIVENESS. OTHER DESIGN ELEMENTS OF CONTESTS ARE ALSO DISCUSSED, INCLUDING MEDIA, TARGET GROUP AND EVALUATION. IT IS ARGUED THAT INNOVATION CONTESTS CAN BE VIEWED AS INNOVATION INTERMEDIARIES THAT HELP TO CONNECT ACTORS IN AN INNOVATION SYSTEM. ADVANTAGES AND DISADVANTAGES OF INNOVATION CONTESTS ARE DISCUSSED. FINALLY, SIX CONTESTS ARE INTRODUCED, WHICH SERVE AS RUNNING EXAMPLES THROUGHOUT THE BOOK. OPEN DIGITAL INNOVATION CONTESTS ARE COMPETITIONS THAT AIM TO DEVELOP DIGITAL SERVICES. BASED ON THE WORK BY HJALMARSSON AND RUDMARK (2012), THEY CAN BE DESCRIBED AS EVENTS IN WHICH EXTERNAL DEVELOPERS COMPETE TO DESIGN AND IMPLEMENT INNOVATIVE AND SOLID DIGITAL SERVICE PROTOTYPES, BASED ON DIGITAL RESOURCES MADE AVAILABLE BY THE ORGANISER. THERE ARE THREE KEY INGREDIENTS IN THIS DEFINITION. FIRST, THE PARTICIPANTS OF THE CONTESTS ARE TO BE EXTERNAL DEVELOPERS, I.E. DEVELOPERS OUTSIDE THE ORGANISATION THAT ARRANGES THE COMPETITION. IN THIS WAY, NEW CATEGORIES OF PEOPLE ARE DRAWN INTO THE INNOVATION SYSTEM AROUND AN ORGANISATION, THEREBY ENABLING OPEN INNOVATION. FURTHERMORE, THE GOAL IS TO DEVELOP A DIGITAL SERVICE PROTOTYPE IT IS NOT SUFFICIENT JUST TO SUGGEST A NEW IDEA OR CREATE A PRODUCT WITHOUT DIGITAL CONTENT. FINALLY, THE SERVICE DEVELOPED IS TO BE BASED ON DIGITAL RESOURCES MADE AVAILABLE BY THE ORGANISER.","0",0,"0","0","0","0","2196-8705",NA,"ISI000424491700004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-3-319-56339-8; 978-3-319-56338-1","PROGRESS IN IS","HJALMARSSON, A;   JUELLSKIELSE, G;   JOHANNESSON, P","10.1007/978-3-319-56339-8",NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HJALMARSSON ANDERS, 2017, -a-b-c"
"HJALMARSSON ANDERS, 2017, -a-b-c-d","S","HJALMARSSON ANDERS;JUELL-SKIELSE GUSTAF;JOHANNESSON PAUL","ORGANISING OPEN DIGITAL INNOVATION CONTESTS","OPEN DIGITAL INNOVATION: A CONTEST DRIVEN APPROACH",NA,NA,NA,"23","27","10.1007/978-3-319-56339-8_4","2017",2017,"THIS CHAPTER INTRODUCES A STRUCTURED APPROACH TO SUPPORT ORGANISERS OF OPEN DIGITAL INNOVATION CONTESTS. IT SUPPORTS ORGANISERS TO DESIGN AND OPERATE CONTESTS TO ACHIEVE INTENDED OUTCOMES AND EFFECTS. FIRST, THE LOGIC OF THE MODEL IS PRESENTED. THEN EACH PHASE IN THE MODEL IS DESCRIBED AND KEY ACTIVITIES ARE HIGHLIGHTED. THE FOLLOWING CHAPTERS DESCRIBE EACH ACTIVITY IN DETAIL.","0",0,"0","0","0","0","2196-8705",NA,"ISI000424491700005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-3-319-56339-8; 978-3-319-56338-1","PROGRESS IN IS","HJALMARSSON, A;   JUELLSKIELSE, G;   JOHANNESSON, P","10.1007/978-3-319-56339-8",NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HJALMARSSON ANDERS, 2017, -a-b-c-d"
"HJALMARSSON ANDERS, 2017, -a-b-c-d-e","S","HJALMARSSON ANDERS;JUELL-SKIELSE GUSTAF;JOHANNESSON PAUL","ENGAGE CONTEST STAKEHOLDERS","OPEN DIGITAL INNOVATION: A CONTEST DRIVEN APPROACH",NA,NA,NA,"37","47","10.1007/978-3-319-56339-8_6","2017",2017,"THIS CHAPTER ADDRESS THE STAKEHOLDERS THAT SHOULD BE IDENTIFIED AND ENGAGED IN THE CONTEST PROCESS. FIRST, DIFFERENT TYPES OF STAKEHOLDERS ARE PRESENTED ALONG WITH THEIR CHARACTERISTICS AND SUPPORT TO THE CONTEST ORGANIZERS. THIS IS FOLLOWED BY A DESCRIPTION OF THE ACTIVITY ENGAGE CONTEST STAKEHOLDERS AND A RUNNING EXAMPLE. ENGAGING CONTEST STAKEHOLDERS IS AFFECTED BY THE ACTIVITY SET GOALS AND ITSELF AFFECTS ACTIVITIES SUCH AS MOTIVATE DEVELOPERS AND DESIGN CONTEST. OFTEN, ITERATIONS ARE MADE BETWEEN ENGAGING STAKEHOLDERS AND THE PROCESS TO DESIGN THE CONTEST, AS THE STRUCTURE OF THE COMPETITION IS EVOLVING DURING THE PRE-CONTEST PHASE. FINALLY, WE SUGGEST FURTHER READING ON ENGAGING STAKEHOLDERS IN OPEN DIGITAL INNOVATION.","0",0,"0","0","0","0","2196-8705",NA,"ISI000424491700007","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-3-319-56339-8; 978-3-319-56338-1","PROGRESS IN IS","HJALMARSSON, A;   JUELLSKIELSE, G;   JOHANNESSON, P","10.1007/978-3-319-56339-8",NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HJALMARSSON ANDERS, 2017, -a-b-c-d-e"
"HJALMARSSON ANDERS, 2017, -a-b-c-d-e-f","S","HJALMARSSON ANDERS;JUELL-SKIELSE GUSTAF;JOHANNESSON PAUL","DESIGN CONTEST","OPEN DIGITAL INNOVATION: A CONTEST DRIVEN APPROACH",NA,NA,NA,"49","63","10.1007/978-3-319-56339-8_7","2017",2017,"IN THIS CHAPTER, WE DISCUSS HOW TO DESIGN AN OPEN DIGITAL INNOVATION CONTEST. FIRST, CONTEST FORMATS ARE MATCHED TO CONTEST GOALS. THEN, DIFFERENT ELEMENTS OF CONTEST DESIGN ARE PRESENTED, FOLLOWED BY A DESCRIPTION OF THE ACTIVITY DESIGN CONTEST WITH GUIDELINES AND A RUNNING EXAMPLE. DESIGN CONTEST SETS THE SCENE FOR THE REMAINDER OF THE CONTEST PROCESS AND IS HEAVILY AFFECTED BY THE ACTIVITY SET GOALS. FINALLY, CONTEST RULES AND HOW TO BUDGET A CONTEST ARE DISCUSSED TOGETHER WITH SOME SUGGESTIONS FOR FURTHER READING.","0",0,"0","0","0","0","2196-8705",NA,"ISI000424491700008","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-3-319-56339-8; 978-3-319-56338-1","PROGRESS IN IS","HJALMARSSON, A;   JUELLSKIELSE, G;   JOHANNESSON, P","10.1007/978-3-319-56339-8",NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HJALMARSSON ANDERS, 2017, -a-b-c-d-e-f"
"HJALMARSSON ANDERS, 2017, -a-b-c-d-e-f-g","S","HJALMARSSON ANDERS;JUELL-SKIELSE GUSTAF;JOHANNESSON PAUL","MONITOR CONTEST","OPEN DIGITAL INNOVATION: A CONTEST DRIVEN APPROACH",NA,NA,NA,"123","133","10.1007/978-3-319-56339-8_15","2017",2017,"IN THIS CHAPTER, WE PRESENT A METHOD FOR EVALUATING OPEN DIGITAL INNOVATION CONTESTS. THE METHOD SERVES SEVERAL PURPOSES: IT HELPS TO EVALUATE WHETHER THE ORGANISERS HAVE ACHIEVED THEIR GOALS OF ORGANISING THE CONTEST OR NOT, IT SUPPORTS MANAGERS IN MANAGING THE CONTEST OPERATIONS AND IT SUPPORTS LEARNING WITHIN THE ORGANISATIONS. THE ACTIVITY ALSO SUPPORTS KNOWLEDGE TRANSFER TO OTHER ORGANISATIONS AND SUPPORTS MAKING CONTRIBUTIONS TO THE SCIENTIFIC KNOWLEDGE BASE. THE METHOD DESCRIPTION IS FOLLOWED BY AN EXAMPLE AND A FEW GUIDELINES.","0",0,"0","0","0","0","2196-8705",NA,"ISI000424491700016","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-3-319-56339-8; 978-3-319-56338-1","PROGRESS IN IS","HJALMARSSON, A;   JUELLSKIELSE, G;   JOHANNESSON, P","10.1007/978-3-319-56339-8",NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HJALMARSSON ANDERS, 2017, -a-b-c-d-e-f-g"
"HJALMARSSON ANDERS, 2017, -a-b-c-d-e-f-g-h","S","HJALMARSSON ANDERS;JUELL-SKIELSE GUSTAF;JOHANNESSON PAUL","RULES FOR THE OPEN DIGITAL INNOVATION CONTEST ""OLYMPIC CITY TRANSPORT CHALLENGE""","OPEN DIGITAL INNOVATION: A CONTEST DRIVEN APPROACH",NA,NA,NA,"135","138","10.1007/978-3-319-56339-8","2017",2017,NA,"0",0,"0","0","0","0","2196-8705",NA,"ISI000424491700017","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-3-319-56339-8; 978-3-319-56338-1","PROGRESS IN IS","HJALMARSSON, A;   JUELLSKIELSE, G;   JOHANNESSON, P","10.1007/978-3-319-56339-8",NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HJALMARSSON ANDERS, 2017, -a-b-c-d-e-f-g-h"
"MASIERO SILVIA, 2017, ","J","MASIERO SILVIA","DIGITAL GOVERNANCE AND THE RECONSTRUCTION OF THE INDIAN ANTI-POVERTY SYSTEM","OXFORD DEVELOPMENT STUDIES","45","4",NA,"393","408","10.1080/13600818.2016.1258050","2017",2017,"ON A GLOBAL SCALE, PROGRAMMES OF SOCIAL PROTECTION FOR THE POOR ARE BECOMING INCREASINGLY COMPUTERISED, AND ARCHITECTURES OF BIOMETRIC RECOGNITION ARE BEING WIDELY USED IN THIS RESPECT. I RESEARCH HOW THESE ARCHITECTURES, ADOPTED IN ANTI-POVERTY SYSTEMS, STRUCTURE WAYS TO 'SEE THE STATE' FOR CITIZENS LIVING IN POVERTY. TO DO SO I STUDY INDIA'S PUBLIC DISTRIBUTION SYSTEM (PDS) IN KERALA, WHICH IS AUGMENTING ITS MAIN FOOD SECURITY SCHEME WITH THE COMPUTERISED RECOGNITION OF ITS USERS. IN THE GOVERNMENT'S NARRATIVE, BIOMETRIC TECHNOLOGY IS DEPICTED AS AN OPTIMAL SOLUTION TO THE ILLICIT DIVERSION OF PDS GOODS ON THE MARKET. NEVERTHELESS, ACCORDING TO THE MULTIPLE NARRATIVES COLLECTED ACROSS THE STATE, BENEFICIARIES DISPUTE THIS VIEW IN DIFFERENT WAYS BECAUSE OF THE MIXED EFFECTS OF THE NEW TECHNOLOGY ON THEIR ENTITLEMENTS UNDER THE PDS. THE GOVERNMENT'S CAPABILITY TO RECONSTRUCT ITS IMAGE THROUGH DIGITAL INNOVATION IS THUS FOUND TO BE CONSTRAINED BY CITIZENS' PERCEPTIONS DERIVED FROM THEIR ENCOUNTERS WITH THE NEW TECHNOLOGY OF GOVERNANCE.","0",0,"0","0","0","0","1360-0818","1469-9966","ISI000423959900001","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"MASIERO SILVIA, 2017, "
"ZULHUDA SONNY, 2017, ","J","ZULHUDA SONNY;SAYUTI AFIFAH BINTI","WHITHER POLICING CRYPTOCURRENCY IN MALAYSIA?","IIUM LAW JOURNAL","25","2",NA,"179","196",NA,"2017",2017,"CRYPTOCURRENCY, LIKE BITCOIN, IS A DIGITAL CURRENCY IN WHICH ENCRYPTION TECHNIQUES ARE USED TO REGULATE THE GENERATION OF UNITS OF CURRENCY AND VERIFY THE TRANSFER OF FUNDS, OPERATING INDEPENDENTLY OF A CENTRAL BANK. IT IS AN EMERGING FINANCIAL TECHNOLOGY ENABLED BY INNOVATION, INCREASINGLY POPULAR AMONG GLOBAL INTERNET USERS, AND MORE INTERESTINGLY, IT CHALLENGES THE EXISTING FINANCIAL AND REGULATORY RULES ON THE CURRENCY AND PAYMENT SYSTEMS OF THE WORLD TODAY. ON THE OTHER SIDE, CERTAIN CRYPTOCURRENCY LIKE BITCOIN, HAVE BEEN ACTIVELY USED AS PAYMENT TOOLS FOR ILLICIT TRANSACTIONS. BOTH THE ""PROMISING"" AND ""CHALLENGING"" FACES OF CRYPTOCURRENCY TRIGGER CAUSES FOR CONCERN FOR POLICY MAKERS, NOT ONLY FROM FINANCIAL SECTOR, BUT ALSO LEGAL AND TECHNOLOGICAL SECTORS. THE DECENTRALISED NATURE OF CRYPTOCURRENCY CREATES UNIQUE PROBLEMS FOR THE GOVERNMENT TO REGULATE OR IMPOSE ANY REGULATORY REQUIREMENTS. THIS ARTICLE ARGUES THAT, IN ORDER FOR MALAYSIA TO REMAIN AT THE FOREFRONT OF FINANCIAL AND DIGITAL INNOVATION, IT IS TIMELY TO LOOK AT THE QUESTION ON WHETHER TO FORMULATE CERTAIN POLICY AND REGULATORY FRAMEWORK ON THE USE OF CRYPTOCURRENCY IN MALAYSIAN MARKET. THE ANSWER CAN PAVE THE WAY FOR MALAYSIAN DIGITAL CITIZENS TO POTENTIALLY GRAB THE OPPORTUNITIES MADE POSSIBLE BY THE CRYPTOCURRENCY TECHNOLOGY. FOR THIS PURPOSE, THE RESEARCHERS SEEK TO STUDY THE FEATURES OF CRYPTOCURRENCY AND THE EXPERIENCES FROM POLICYMAKERS IN OTHER JURISDICTIONS IN DEALING WITH THE MATTER.","0",0,"0","0","0","0","0128-2530","2289-7852","ISI000422964600002","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"ZULHUDA SONNY, 2017, "
